id,number,team_name,robot_name,organization,city,region,country,program_id,program_name,grade
174411,24810A,Black Hole,Falcons east,Technical collages,Alhsa,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174406,28711G,Dar-albushra,Nanno Girls,مدرسة دار البشرى,Makkah,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174401,33488A,Elite 404,,RCJ,Jubail,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
176604,41114A,IBN ROSHD,Ajial Robot,IBN ROSHD,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
175011,42354A,GHOST-KSA,,Al-Humaira,Jazan,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174693,52030T,Tuwaiq Academy T1,Knight,Tuwaiq Academy,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174408,54055A,Bakah school,,Bakah school,Makkah,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174538,56047A,Saudi On Top (SOT),VRC,Tuwaiq academy,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174421,62505R,RCY,RCY,Royal Commission in Yanbu General Education,Yanbu,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174435,66009A,JAWATHA ROBTICS,,Jawatha Private Schools,Al Ahsa,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174409,72252A,AGS stars,VEX VRC,Ahmad,Jeddah,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174440,75263A,ED Force,,MISK schools,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174414,79999X,Saudi team,The ghost,SHOROQ ALMARIFA ALNAMOTHAGIA,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
174407,83306A,auis,v5,applied university school,Riyadh,,Saudi Arabia,1,VEX V5 Robotics Competition,High School
134214,79419C,Carey V5RC Team C,,Carey Baptist College,Harrisdale,,Australia,1,VEX V5 Robotics Competition,High School
172344,79419M,３９「ミク」,,Carey Baptist College,Perth,,Australia,1,VEX V5 Robotics Competition,High School
153348,79419X,Final Frontier,Carey VEX 1,Carey Baptist College,Perth,,Australia,1,VEX V5 Robotics Competition,High School
153760,79419Z,Megatron,,Carey Baptist College,Perth,,Australia,1,VEX V5 Robotics Competition,Middle School
130286,99888A,Cooel_Spiders,TBA,Cooel_Spiders,Kelmscott,,Australia,1,VEX V5 Robotics Competition,High School
129418,11860A,Hire Steaks,SPSC-HS1,St Peters College,St Peters,,Australia,1,VEX V5 Robotics Competition,High School
129419,11860B,Chaewon,SPSC-HS2,St Peters College,St Peters,,Australia,1,VEX V5 Robotics Competition,High School
139610,11860C,HelloKittyClan4Lyfe,SPSC-HS3,St Peters College,St Peters,,Australia,1,VEX V5 Robotics Competition,High School
112051,12223A,Wireless,,Pembroke School,Kensington Gardens,,Australia,1,VEX V5 Robotics Competition,High School
170261,12223G,Team 4,,Pembroke School,Kensington Gardens,,Australia,1,VEX V5 Robotics Competition,High School
170266,12223Y,Operation Spork,,Pembroke School,Kensington Gardens,,Australia,1,VEX V5 Robotics Competition,High School
170574,12410T,Twenty Four Ten,2410,MOUNT BARKER HIGH SCHOOL,Mount Barker,,Australia,1,VEX V5 Robotics Competition,High School
139183,12906A,Slipgear,,Salisbury East High School,Salisbury East,,Australia,1,VEX V5 Robotics Competition,High School
139536,12906B,High Voltage,,Salisbury East High School,Salisbury East,,Australia,1,VEX V5 Robotics Competition,High School
153386,16676A,The OG Group - Banks Bots,,Riverbanks College B-12,Angle Vale,,Australia,1,VEX V5 Robotics Competition,High School
171755,16676B,The Gamble Group - Banks Bots,,Riverbanks College B-12,Angle Vale,,Australia,1,VEX V5 Robotics Competition,High School
135775,41103B,ASDF,,Pedare Christian College,Golden Grove,,Australia,1,VEX V5 Robotics Competition,High School
156309,41103X,Jank Industries,,Pedare Christian College,Golden Grove,,Australia,1,VEX V5 Robotics Competition,High School
135543,50506A,Robosapiens,,Glenunga International High School,Glenunga,,Australia,1,VEX V5 Robotics Competition,High School
170825,50911A,BanksiaBots,,Banksia Park International HS,Banksia Park,,Australia,1,VEX V5 Robotics Competition,High School
139374,75477M,Frij,Frij,St John's Grammar School,Belair,,Australia,1,VEX V5 Robotics Competition,High School
129368,4557A,Van Helsing - MCSHS,Van Helsing - MCSHS,Mountain Creek State High School,Mountain Creek,,Australia,1,VEX V5 Robotics Competition,High School
141393,4557B,The Dancing Dandelions - MCSHS,The Dancing Dandelions,Mountain Creek State High School,Mountain Creek,,Australia,1,VEX V5 Robotics Competition,High School
160143,13818A,QRCA,,Queensland Robotics and Coding Academy,Varsity Lakes,,Australia,1,VEX V5 Robotics Competition,High School
176496,13818B,QRCA,,Queensland Robotics and Coding Academy,Varsity Lakes,,Australia,1,VEX V5 Robotics Competition,High School
103789,34565A,Phoenix Robotics 1,,Merrimac State High School,Mermaid Waters,,Australia,1,VEX V5 Robotics Competition,High School
122004,36010A,CSDE A,Bot1,Cairns School of Distance Education,Manunda,,Australia,1,VEX V5 Robotics Competition,High School
122005,36010B,CDSE B,B Bot,Cairns School of Distance Education,Manunda,,Australia,1,VEX V5 Robotics Competition,High School
177200,79226A,Clairvaux MacKillop College 1,CMC 1,Clairvaux Mackillop College,Upper Mount Gravatt,,Australia,1,VEX V5 Robotics Competition,High School
179595,79226C,Clairvaux MacKillop College 3,CMC 3,Clairvaux Mackillop College,Upper Mount Gravatt,,Australia,1,VEX V5 Robotics Competition,High School
162839,85657A,Marsden Robotics A,,Marsden State High School,Brisbane,,Australia,1,VEX V5 Robotics Competition,High School
162841,85657B,Marsden Robotics B,,Marsden State High School,Brisbane,,Australia,1,VEX V5 Robotics Competition,High School
177227,90473D,KooKooNuts,KooKooNuts,C Robotics,Newmarket 4651,,Australia,1,VEX V5 Robotics Competition,High School
