red_1_comps_attended,red_1_trueskill,red_1_opr,red_1_dpr,red_1_wp_per_match,red_2_comps_attended,red_2_trueskill,red_2_opr,red_2_dpr,red_2_wp_per_match,blue_1_comps_attended,blue_1_trueskill,blue_1_opr,blue_1_dpr,blue_1_wp_per_match,blue_2_comps_attended,blue_2_trueskill,blue_2_opr,blue_2_dpr,blue_2_wp_per_match,red_score,blue_score
4.0,18.6,9.2,9.2,1.1,3.0,19.2,4.3,1.5,1.2,3.0,18.5,2.4,5.3,0.9,3.0,14.7,3.2,5.9,0.8,22,3
3.0,19.3,4.2,3.0,1.4,3.0,18.0,5.4,5.3,0.9,4.0,19.5,8.7,7.1,1.2,5.0,20.7,7.1,5.0,1.1,0,21
2.0,13.0,2.5,9.2,0.6,3.0,17.7,-0.5,5.9,0.8,4.0,21.5,9.5,8.0,1.2,4.0,22.9,14.3,7.0,1.4,0,21
3.0,14.7,3.2,5.9,0.8,5.0,20.7,7.1,5.0,1.1,2.0,15.2,4.7,5.7,0.8,4.0,18.6,9.2,9.2,1.1,9,6
4.0,22.9,14.3,7.0,1.4,3.0,18.5,2.4,5.3,0.9,3.0,17.7,-0.5,5.9,0.8,3.0,19.3,4.2,3.0,1.4,22,3
3.0,18.0,5.4,5.3,0.9,2.0,14.6,1.8,8.9,0.9,3.0,19.2,4.3,1.5,1.2,2.0,13.0,2.5,9.2,0.6,9,6
4.0,22.9,14.3,7.0,1.4,2.0,13.0,2.5,9.2,0.6,3.0,18.0,5.4,5.3,0.9,2.0,15.2,4.7,5.7,0.8,9,24
4.0,21.5,9.5,8.0,1.2,5.0,20.7,7.1,5.0,1.1,4.0,18.6,9.2,9.2,1.1,3.0,17.7,-0.5,5.9,0.8,28,5
3.0,19.3,4.2,3.0,1.4,4.0,19.5,8.7,7.1,1.2,5.0,23.3,13.8,4.4,1.6,3.0,19.2,4.3,1.5,1.2,7,23
3.0,17.7,-0.5,5.9,0.8,3.0,18.0,5.4,5.3,0.9,5.0,20.7,7.1,5.0,1.1,2.0,14.6,1.8,8.9,0.9,11,0
3.0,18.5,2.4,5.3,0.9,4.0,18.6,9.2,9.2,1.1,4.0,22.9,14.3,7.0,1.4,5.0,23.3,13.8,4.4,1.6,11,28
4.0,21.5,9.5,8.0,1.2,2.0,15.2,4.7,5.7,0.8,3.0,19.3,4.2,3.0,1.4,3.0,19.2,4.3,1.5,1.2,10,13
4.0,22.9,14.3,7.0,1.4,4.0,19.5,8.7,7.1,1.2,2.0,14.6,1.8,8.9,0.9,4.0,18.6,9.2,9.2,1.1,32,13
5.0,23.3,13.8,4.4,1.6,3.0,19.3,4.2,3.0,1.4,3.0,14.7,3.2,5.9,0.8,5.0,20.7,7.1,5.0,1.1,21,10
3.0,19.2,4.3,1.5,1.2,4.0,21.5,9.5,8.0,1.2,3.0,18.0,5.4,5.3,0.9,3.0,18.5,2.4,5.3,0.9,0,9
2.0,14.6,1.8,8.9,0.9,4.0,22.9,14.3,7.0,1.4,3.0,14.7,3.2,5.9,0.8,4.0,21.5,9.5,8.0,1.2,14,22
5.0,20.7,7.1,5.0,1.1,5.0,23.3,13.8,4.4,1.6,3.0,18.5,2.4,5.3,0.9,2.0,13.0,2.5,9.2,0.6,23,7
2.0,15.2,4.7,5.7,0.8,3.0,19.2,4.3,1.5,1.2,4.0,19.5,8.7,7.1,1.2,3.0,17.7,-0.5,5.9,0.8,9,10
4.0,21.5,9.5,8.0,1.2,3.0,18.5,2.4,5.3,0.9,4.0,19.5,8.7,7.1,1.2,2.0,15.2,4.7,5.7,0.8,8,6
3.0,18.0,5.4,5.3,0.9,3.0,17.7,-0.5,5.9,0.8,3.0,14.7,3.2,5.9,0.8,5.0,23.3,13.8,4.4,1.6,12,0
2.0,13.0,2.5,9.2,0.6,2.0,14.6,1.8,8.9,0.9,3.0,19.3,4.2,3.0,1.4,4.0,18.6,9.2,9.2,1.1,0,14
4.0,19.5,8.7,7.1,1.2,4.0,21.5,9.5,8.0,1.2,5.0,20.7,7.1,5.0,1.1,3.0,17.7,-0.5,5.9,0.8,29,12
3.0,18.0,5.4,5.3,0.9,3.0,19.2,4.3,1.5,1.2,3.0,18.5,2.4,5.3,0.9,3.0,14.7,3.2,5.9,0.8,9,4
3.0,19.3,4.2,3.0,1.4,4.0,18.6,9.2,9.2,1.1,2.0,14.6,1.8,8.9,0.9,2.0,15.2,4.7,5.7,0.8,16,0
2.0,13.5,3.0,9.2,0.6,4.0,21.5,15.4,8.8,1.3,5.0,21.1,12.0,10.0,1.4,6.0,22.2,10.8,9.1,1.6,15,16
7.0,24.0,13.6,6.0,1.4,2.0,15.3,1.5,14.0,0.5,5.0,22.2,8.4,7.7,1.3,7.0,24.7,18.0,4.8,1.8,14,30
2.0,13.3,0.8,21.0,0.2,2.0,15.2,3.8,8.1,0.9,3.0,17.1,4.0,11.7,0.7,4.0,20.6,11.6,9.3,1.1,6,24
3.0,19.7,10.5,10.8,0.8,6.0,21.5,9.0,10.0,1.1,4.0,16.2,4.5,9.1,0.9,6.0,27.1,19.9,11.6,2.0,23,36
2.0,14.9,4.6,12.0,0.3,3.0,22.5,14.1,6.7,1.3,2.0,14.0,1.5,13.3,1.0,4.0,20.2,2.8,8.2,0.5,21,0
6.0,21.3,13.1,9.7,1.2,3.0,19.7,10.5,10.8,0.8,7.0,24.0,13.6,6.0,1.4,2.0,13.5,3.0,9.2,0.6,22,32
6.0,27.1,19.9,11.6,2.0,4.0,16.2,4.5,9.1,0.9,3.0,22.5,14.1,6.7,1.3,5.0,21.1,12.0,10.0,1.4,38,28
5.0,22.2,8.4,7.7,1.3,6.0,22.2,10.8,9.1,1.6,2.0,13.3,0.8,21.0,0.2,4.0,20.2,2.8,8.2,0.5,28,8
2.0,15.2,3.8,8.1,0.9,4.0,21.5,15.4,8.8,1.3,6.0,21.3,13.1,9.7,1.2,6.0,21.5,9.0,10.0,1.1,16,25
4.0,20.6,11.6,9.3,1.1,3.0,17.1,4.0,11.7,0.7,2.0,15.3,1.5,14.0,0.5,2.0,14.9,4.6,12.0,0.3,37,4
2.0,14.0,1.5,13.3,1.0,7.0,24.7,18.0,4.8,1.8,2.0,15.2,3.8,8.1,0.9,3.0,19.7,10.5,10.8,0.8,24,24
3.0,17.1,4.0,11.7,0.7,3.0,22.5,14.1,6.7,1.3,4.0,21.5,15.4,8.8,1.3,5.0,22.2,8.4,7.7,1.3,21,33
4.0,20.6,11.6,9.3,1.1,2.0,15.3,1.5,14.0,0.5,6.0,21.5,9.0,10.0,1.1,2.0,13.5,3.0,9.2,0.6,14,9
2.0,14.9,4.6,12.0,0.3,6.0,22.2,10.8,9.1,1.6,6.0,21.3,13.1,9.7,1.2,7.0,24.7,18.0,4.8,1.8,9,32
2.0,14.0,1.5,13.3,1.0,7.0,24.0,13.6,6.0,1.4,4.0,16.2,4.5,9.1,0.9,2.0,13.3,0.8,21.0,0.2,23,3
5.0,21.1,12.0,10.0,1.4,4.0,20.2,2.8,8.2,0.5,6.0,27.1,19.9,11.6,2.0,2.0,13.5,3.0,9.2,0.6,15,24
7.0,24.7,18.0,4.8,1.8,4.0,16.2,4.5,9.1,0.9,4.0,20.6,11.6,9.3,1.1,4.0,21.5,15.4,8.8,1.3,10,24
6.0,27.1,19.9,11.6,2.0,2.0,15.2,3.8,8.1,0.9,6.0,22.2,10.8,9.1,1.6,7.0,24.0,13.6,6.0,1.4,16,22
6.0,21.3,13.1,9.7,1.2,4.0,20.2,2.8,8.2,0.5,3.0,22.5,14.1,6.7,1.3,2.0,15.3,1.5,14.0,0.5,29,4
5.0,22.2,8.4,7.7,1.3,6.0,21.5,9.0,10.0,1.1,2.0,14.0,1.5,13.3,1.0,3.0,17.1,4.0,11.7,0.7,7,12
2.0,13.3,0.8,21.0,0.2,5.0,21.1,12.0,10.0,1.4,2.0,14.9,4.6,12.0,0.3,3.0,19.7,10.5,10.8,0.8,21,20
4.0,16.2,4.5,9.1,0.9,2.0,13.5,3.0,9.2,0.6,2.0,15.2,3.8,8.1,0.9,3.0,17.1,4.0,11.7,0.7,3,16
2.0,13.3,0.8,21.0,0.2,5.0,22.2,8.4,7.7,1.3,6.0,27.1,19.9,11.6,2.0,6.0,21.3,13.1,9.7,1.2,0,44
6.0,22.2,10.8,9.1,1.6,2.0,15.3,1.5,14.0,0.5,3.0,19.7,10.5,10.8,0.8,3.0,22.5,14.1,6.7,1.3,23,18
7.0,24.0,13.6,6.0,1.4,4.0,20.2,2.8,8.2,0.5,2.0,14.9,4.6,12.0,0.3,6.0,21.5,9.0,10.0,1.1,11,6
7.0,24.7,18.0,4.8,1.8,5.0,21.1,12.0,10.0,1.4,4.0,20.6,11.6,9.3,1.1,2.0,14.0,1.5,13.3,1.0,13,10
4.0,21.5,15.4,8.8,1.3,4.0,16.2,4.5,9.1,0.9,2.0,15.3,1.5,14.0,0.5,2.0,13.3,0.8,21.0,0.2,24,0
4.0,20.6,11.6,9.3,1.1,6.0,21.3,13.1,9.7,1.2,3.0,19.7,10.5,10.8,0.8,5.0,22.2,8.4,7.7,1.3,11,23
2.0,13.5,3.0,9.2,0.6,2.0,14.0,1.5,13.3,1.0,6.0,22.2,10.8,9.1,1.6,4.0,21.5,15.4,8.8,1.3,4,40
3.0,17.1,4.0,11.7,0.7,6.0,27.1,19.9,11.6,2.0,7.0,24.7,18.0,4.8,1.8,4.0,20.2,2.8,8.2,0.5,4,37
