number,region,comps_attended,sigs_attended,worlds_qual,trueskill,trueskill_ranking,opr,dpr,ccwm,ap_per_match,awp_per_match,wp_per_match,drive_score,auto_score
33488A,Saudi Arabia,2,0,True,15.9,7599.0,17.0,5.3,11.7,3.8,0.0,1.8,26.0,3.0
56047A,Saudi Arabia,2,0,True,7.8,11664.0,1.0,5.6,-4.6,0.4,0.0,0.2,11.0,3.0
79999X,Saudi Arabia,3,0,True,18.0,5344.0,12.6,8.6,4.0,3.8,0.0,1.2,29.0,4.0
83306A,Saudi Arabia,2,0,False,14.1,9191.0,11.7,5.0,6.7,4.5,0.0,1.5,21.0,0.0
79419M,Australia,2,0,False,8.6,11512.0,3.3,13.3,-10.0,1.1,0.0,0.5,10.0,0.0
79419X,Australia,3,0,False,15.8,7698.0,9.9,10.3,-0.4,2.4,0.0,1.0,36.0,20.0
79419Z,Australia,3,0,False,19.1,4178.0,13.6,2.1,11.4,2.4,0.0,1.5,24.0,21.0
99888A,Australia,3,0,False,15.0,8488.0,11.7,10.9,0.7,3.2,0.06,1.1,30.0,11.0
11860A,Australia,5,0,False,20.7,2629.0,7.1,5.0,2.1,3.3,0.03,1.1,30.0,5.0
11860B,Australia,4,0,False,18.6,4715.0,9.2,9.2,0.0,3.0,0.0,1.1,42.0,13.0
11860C,Australia,3,0,False,19.3,3976.0,4.2,3.0,1.2,3.6,0.15,1.4,20.0,4.0
12223A,Australia,4,0,False,19.5,3781.0,8.7,7.1,1.6,2.6,0.0,1.2,26.0,3.0
12223G,Australia,3,0,False,14.7,8742.0,3.2,5.9,-2.6,3.1,0.0,0.8,8.0,0.0
12223Y,Australia,3,0,False,17.7,5708.0,-0.5,5.9,-6.4,2.5,0.0,0.8,10.0,0.0
12410T,Australia,2,0,False,13.0,9917.0,2.5,9.2,-6.7,1.9,0.0,0.6,10.0,0.0
12906A,Australia,3,0,False,19.2,4071.0,4.3,1.5,2.8,2.9,0.0,1.2,23.0,0.0
12906B,Australia,4,0,False,21.5,1966.0,9.5,8.0,1.5,3.1,0.04,1.2,23.0,4.0
16676A,Australia,2,0,False,14.6,8819.0,1.8,8.9,-7.0,2.8,0.0,0.9,3.0,0.0
41103B,Australia,4,0,False,22.9,1042.0,14.3,7.0,7.3,3.2,0.04,1.4,37.0,26.0
41103X,Australia,3,0,False,18.5,4820.0,2.4,5.3,-2.9,2.4,0.0,0.9,26.0,0.0
50506A,Australia,2,0,False,15.2,8308.0,4.7,5.7,-1.0,3.2,0.07,0.8,7.0,0.0
50911A,Australia,3,0,False,18.0,5344.0,5.4,5.3,0.2,3.1,0.0,0.9,13.0,0.0
75477M,Australia,5,0,True,23.3,854.0,13.8,4.4,9.4,4.0,0.11,1.6,44.0,37.0
